class	word
művelt	szláken
művelt	daken
művelt	bálen
művelt	laben
művelt	pámen
művelt	vódett
művelt	rojett
művelt	bondett
művelt	pofszett
művelt	ojett
művelt	slotens
művelt	hókens
művelt	pódens
művelt	voglens
művelt	loftvens
művelt	dubex
művelt	kojex
művelt	tokex
művelt	bojex
művelt	trumlex
művelt	mojem
művelt	ubrem
művelt	tosztem
művelt	próngem
művelt	plosztem
bizalmas	bórcer
bizalmas	suter
bizalmas	stokler
bizalmas	kajler
bizalmas	kokker
bizalmas	kamesz
bizalmas	bachesz
bizalmas	takkesz
bizalmas	kampesz
bizalmas	gortesz
bizalmas	flotek
bizalmas	bralek
bizalmas	saklek
bizalmas	kumek
bizalmas	kacsek
bizalmas	baktec
bizalmas	szkatyec
bizalmas	pratec
bizalmas	sapec
bizalmas	moplec
bizalmas	forrel
bizalmas	sudel
bizalmas	kranel
bizalmas	hacel
bizalmas	hodel
